"","childs","degree","educ","sei","suicide","divorce"
"1481",0,1,12," ",NA,0
"1482",1,1,14,"37,7",NA,1
"1483",2,1,12,"37,9",1,1
"1484",1,1,13,"50,5",0,0
"1485",2,2,16,"63,5",NA,0
"1486",1,1,13,"29,4",1,NA
"1487",1,1,12,"29,6",1,NA
"1488",2,2,14,"48,5",NA,0
"1489",0,0,8,"33,9",NA,0
"1490",0,0,9,"34,3",1,NA
"1491",2,1,12,"29,4",0,0
"1492",1,0,10,"25,8",1,0
"1493",1,1,12,"32,4",NA,NA
"1494",4,1,12,"32,3",0,0
"1495",1,1,13,"38,4",1,1
"1496",2,1,12,"48,5",0,0
"1497",0,1,9,"26,3",1,NA
"1498",NA,0,12,"44,7",NA,0
"1499",0,1,12,"46,7",1,NA
"1500",0,3,16,"39",1,NA
"1501",2,0,4," ",NA,0
"1502",2,4,18,"44,3",1,0
"1503",5,0,NA,"17,6",NA,0
"1504",0,1,11,"50,7",NA,NA
"1505",0,1,12,"33,1",1,NA
"1506",0,2,17,"80,3",NA,NA
"1507",2,1,12,"36,9",1,1
"1508",2,1,11,"17,1",NA,NA
"1509",1,1,14,"56,6",1,0
"1510",1,1,12,"31,3",0,0
"1511",0,1,12,"28,4",0,NA
"1512",2,1,11,"63,5",NA,NA
"1513",1,1,16,"29,4",1,NA
"1514",3,0,7,"31,9",0,NA
"1515",2,3,16,"78,5",0,0
"1516",0,1,12,"44,7",NA,0
"1517",7,1,12,"38",0,0
"1518",3,1,13,"66,1",NA,0
"1519",0,1,13,"63,5",NA,NA
"1520",2,1,14,"63,5",0,0
"1521",2,3,17,"71,6",NA,NA
"1522",3,1,13,"43,7",1,0
"1523",0,3,16,"73,6",1,0
"1524",3,4,18,"74,4",1,0
"1525",0,1,14,"34,3",NA,NA
"1526",0,1,15,"32,3",1,NA
"1527",1,1,12,"32",NA,0
"1528",0,1,15,"48,6",1,NA
"1529",1,4,17,"51",0,NA
"1530",3,1,12,"48,5",1,1
"1531",2,3,16,"65,8",NA,0
"1532",1,1,12,"38,4",0,0
"1533",2,1,12,"69,7",1,0
"1534",5,1,12,"34,2",1,NA
"1535",5,1,12,"69,2",0,NA
"1536",1,1,12,"42,4",NA,0
"1537",5,0,9,"36,5",NA,0
"1538",0,3,16,"63,5",NA,0
"1539",3,0,6,"73,9",0,1
"1540",0,0,NA,"30,1",1,NA
"1541",2,1,12,"61,9",NA,1
"1542",4,1,12,"45,9",NA,NA
"1543",0,0,8,"63,5",NA,0
"1544",3,4,20,"97,2",1,NA
"1545",0,1,18,"45,4",0,NA
"1546",1,0,11,"53,7",1,0
"1547",3,3,16,"53,7",NA,NA
"1548",NA,1,13,"65,8",1,1
"1549",0,1,14,"63,5",1,NA
"1550",2,3,16,"53,7",1,NA
"1551",NA,1,10,"26,4",0,0
"1552",3,0,10,"63,2",1,0
"1553",1,0,10,"31,5",NA,1
"1554",0,0,8,"26,7",0,NA
"1555",4,1,15,"38",1,NA
"1556",0,1,14,"31,5",NA,NA
"1557",0,1,14,"63,5",NA,0
"1558",1,1,14,"38",NA,0
"1559",2,0,9,"35,1",NA,0
"1560",2,0,9,"24,8",NA,NA
"1561",2,1,14,"50,7",0,1
